"Subject"	"Stimuli"	"Trustworthy"	"Face_trust"	"RT"	"Trust"
13712	10	0.5	3.510869565	6.41106690972128	1
13712	33	-0.5	3.739130435	4.00386417114623	1
13712	23	-0.5	3.436170213	5.02936366631593	1
13712	9	0.5	4.010869565	5.12914662298203	1
13712	58	-0.5	3.258064516	6.74622032110233	1
13712	14	-0.5	3.321428571	4.72180338839576	1
13712	5	0.5	3.776595745	3.20322270245674	1
13712	30	0.5	3.780487805	6.32102807690694	1
13712	34	-0.5	3.174418605	1.68023143267351	1
13712	41	-0.5	3.896551724	1.92535344301928	1
13712	39	0.5	3.75	1.08773108851142	1
13712	12	-0.5	3.056818182	4.59310975003382	0
13712	46	0.5	3.541666667	0.757552014489647	1
13712	35	0.5	3.090909091	1.41383117758642	1
13712	31	-0.5	3.29787234	4.15006495728676	1
13712	45	-0.5	3.346153846	2.44676174389178	0
13712	63	0.5	3	1.81307483482897	1
13712	38	0.5	3.390804598	2.55147763229206	1
13712	13	-0.5	4.163043478	4.10848096916061	1
13712	44	0.5	3.125	1.40087864860516	1
13712	28	-0.5	3.068181818	1.06669172237844	0
13712	61	0.5	3.592592593	2.88475717370193	1
13712	40	-0.5	3.563218391	1.91690174091173	0
13712	59	-0.5	3.259259259	1.5029152037564	0
13712	16	0.5	3.359550562	0.909212326985653	1
13712	27	-0.5	3.540229885	0.865600171001461	0
13712	42	0.5	3.582417582	1.24515173746113	1
13712	1	0.5	3.302083333	0.744569050604241	1
13712	37	-0.5	3.071428571	1.14643294075813	1
13712	32	0.5	3.488636364	1.93548826610549	1
13712	22	-0.5	3.313953488	0.960392157278875	0
13712	56	0.5	3.333333333	0.847462029802955	1
13712	7	-0.5	3.88172043	0.849405970832777	0
13712	50	-0.5	3.392857143	1.06091050616442	0
13712	17	0.5	3.95505618	0.710908400493281	1
13712	60	-0.5	3.266666667	2.47070127327606	0
13712	21	0.5	3.731707317	1.96564748666106	1
13712	20	0.5	3.80952381	1.15623085653351	1
13712	51	-0.5	4.214285714	1.01617650545722	0
13712	62	0.5	2.825581395	1.16266890044699	1
13712	19	-0.5	3.315217391	1.20522114319874	0
13712	4	0.5	3.578313253	0.953049559702777	1
13712	55	-0.5	3.083333333	0.767023285886808	0
13712	24	0.5	2.806451613	1.25053729992169	1
13712	54	-0.5	3.703703704	1.3922022236593	0
13712	57	0.5	2.896551724	0.988850208249005	1
13712	53	0.5	3.15	1.12907902918323	1
13712	3	-0.5	4.054945055	0.810259960087933	0
13712	43	-0.5	3	0.982862671696239	0
13712	52	0.5	3.4	2.80925808551046	1
13712	8	-0.5	3.430232558	0.847173959895827	0
13712	15	-0.5	3.494505495	0.963151824519173	0
13712	64	0.5	2.827586207	1.52826995618443	1
13712	2	0.5	3.215053763	2.24421037879756	1
13712	25	-0.5	3.387096774	1.70525317062675	0
13712	49	0.5	3.285714286	3.5059824050868	1
13712	18	0.5	3.209302326	1.42302711926914	0
13712	47	-0.5	3.269230769	0.873694439932024	1
13712	26	-0.5	3.081395349	4.68197860850933	1
13712	11	0.5	3.112359551	0.952848547777194	1
14072	17	0.5	3.95505618	4.4119946791252	1
14072	21	-0.5	3.731707317	1.4291822432715	0
14072	24	0.5	2.806451613	1.2206848672904	1
14072	33	-0.5	3.739130435	1.30507396651228	1
14072	50	0.5	3.392857143	2.01430001628978	0
14072	1	-0.5	3.302083333	1.69979235611027	1
14072	32	0.5	3.488636364	2.3921152264702	1
14072	42	0.5	3.582417582	1.04842982550326	1
14072	59	-0.5	3.259259259	1.1577126860102	0
14072	2	0.5	3.215053763	0.946342329028994	1
14072	26	-0.5	3.081395349	1.02666230985415	0
14072	31	-0.5	3.29787234	1.28417615829676	1
14072	53	0.5	3.15	0.99953220532916	1
14072	63	-0.5	3	0.677846396491077	0
14072	61	0.5	3.592592593	0.863501951294893	1
14072	16	-0.5	3.359550562	1.93981472285304	1
14072	57	0.5	2.896551724	0.672162343624223	1
14072	49	0.5	3.285714286	0.937504552144674	1
14072	52	-0.5	3.4	0.66577146724012	1
14072	11	0.5	3.112359551	0.853106845232105	1
14072	20	0.5	3.80952381	0.746529446896602	1
14072	7	-0.5	3.88172043	2.25181158700434	1
14072	29	-0.5	3.370786517	1.19102741349707	0
14072	55	0.5	3.083333333	0.705646576323488	1
14072	37	-0.5	3.071428571	1.38499633842366	1
14072	3	0.5	4.054945055	1.08031302846211	1
14072	45	-0.5	3.346153846	1.61269282873764	1
14072	23	0.5	3.436170213	1.72194953512007	1
14072	43	0.5	3	1.10020539264951	1
14072	28	-0.5	3.068181818	1.13964283396854	1
14072	27	-0.5	3.540229885	1.62089760958042	1
14072	6	0.5	3.56043956	0.778174614210002	1
14072	36	-0.5	3.701149425	0.644598213042627	0
14072	9	-0.5	4.010869565	0.87817871941661	1
14072	47	0.5	3.269230769	1.06449309332311	1
14072	54	0.5	3.703703704	0.828142567130271	1
14072	56	-0.5	3.333333333	0.872186776206945	1
14072	41	0.5	3.896551724	0.403565105232701	1
14072	46	-0.5	3.541666667	2.3608160219519	0
14072	13	0.5	4.163043478	0.590393622896954	1
14072	10	0.5	3.510869565	0.701767489164922	1
14072	5	-0.5	3.776595745	1.11215981428541	1
14072	58	0.5	3.258064516	0.435522797790327	1
14072	15	-0.5	3.494505495	1.18977996104149	1
14072	51	-0.5	4.214285714	0.459197578195017	1
14072	60	0.5	3.266666667	0.649583387959865	1
14072	35	0.5	3.090909091	0.490884128619655	1
14072	22	-0.5	3.313953488	0.502283023390191	1
14072	25	0.5	3.387096774	0.84961311758525	1
14072	38	-0.5	3.390804598	0.398117101620301	1
14072	48	0.5	3.130434783	0.398403803803376	1
14072	12	-0.5	3.056818182	0.401875350100454	1
14072	18	0.5	3.209302326	0.393198470745119	1
14072	14	-0.5	3.321428571	0.795537642738054	1
14072	39	-0.5	3.75	0.592857407707925	1
14072	34	0.5	3.174418605	0.577178837273095	1
14072	8	-0.5	3.430232558	0.537608638936945	1
14072	62	0.5	2.825581395	1.09496562884306	1
14072	64	-0.5	2.827586207	0.430281709723204	1
14072	30	-0.5	3.780487805	0.369600497389911	1
14149	1	-0.5	3.302083333	6.46523951219569	0
14149	50	0.5	3.392857143	6.89117136050481	1
14149	56	-0.5	3.333333333	2.86263224386494	0
14149	23	0.5	3.436170213	3.81594845452491	1
14149	7	0.5	3.88172043	7.55099259871349	0
14149	9	-0.5	4.010869565	5.99231366675667	0
14149	15	0.5	3.494505495	1.4236372376472	1
14149	14	0.5	3.321428571	6.09778100455878	1
14149	17	-0.5	3.95505618	5.76670685794306	1
14149	5	-0.5	3.776595745	1.75480110284116	0
14149	59	0.5	3.259259259	1.97226371568468	1
14149	13	-0.5	4.163043478	5.78861474509904	1
14149	16	0.5	3.359550562	1.78565370084107	1
14149	52	-0.5	3.4	2.51298337127446	0
14149	31	-0.5	3.29787234	1.61443158147085	0
14149	55	0.5	3.083333333	2.74986194594749	1
14149	40	-0.5	3.563218391	3.32114749734683	0
14149	39	0.5	3.75	1.26552462526888	1
14149	24	0.5	2.806451613	1.02189927947256	1
14149	38	-0.5	3.390804598	1.5512385799193	0
14149	22	0.5	3.313953488	2.11674075898554	1
14149	44	0.5	3.125	1.90403389309722	1
14149	47	-0.5	3.269230769	3.24637285320932	0
14149	33	0.5	3.739130435	2.55277968691735	1
14149	36	0.5	3.701149425	1.32701860187444	1
14149	12	-0.5	3.056818182	1.24738524960412	0
14149	35	0.5	3.090909091	4.44282873749034	1
14149	46	-0.5	3.541666667	2.40299269406023	0
14149	42	-0.5	3.582417582	1.48751190178155	1
14149	30	0.5	3.780487805	2.39275153316339	1
14149	18	-0.5	3.209302326	1.77399856185366	0
14149	58	-0.5	3.258064516	4.02736549165274	0
14149	53	0.5	3.15	1.56282220889261	1
14149	10	-0.5	3.510869565	3.44810193884769	1
14149	20	0.5	3.80952381	2.33636025950182	0
14149	57	-0.5	2.896551724	3.55684251508501	0
14149	37	-0.5	3.071428571	2.65424180183982	1
14149	41	0.5	3.896551724	0.862395532476512	1
14149	32	-0.5	3.488636364	1.34177614982036	0
14149	51	0.5	4.214285714	1.31732833292699	1
14149	28	-0.5	3.068181818	2.14858853800251	1
14149	21	0.5	3.731707317	1.30297402200085	1
14149	48	-0.5	3.130434783	1.03920999974798	0
14149	19	0.5	3.315217391	2.21262078901782	1
14149	61	0.5	3.592592593	1.7020949123289	0
14149	2	-0.5	3.215053763	2.15751139856366	1
14149	45	-0.5	3.346153846	0.934874903825403	0
14149	60	0.5	3.266666667	0.93440545383055	1
14149	11	0.5	3.112359551	1.75768335365865	1
14149	63	-0.5	3	2.02998454589397	1
14149	64	-0.5	2.827586207	0.681240804671688	0
14149	54	0.5	3.703703704	1.101826286289	0
14149	25	-0.5	3.387096774	0.82034135437425	0
14149	43	0.5	3	0.843089484187658	1
14149	3	-0.5	4.054945055	0.566367582658131	0
14149	62	-0.5	2.825581395	1.05599730645554	0
14149	8	0.5	3.430232558	0.76552296994123	1
14149	49	-0.5	3.285714286	2.95469642012904	1
14149	27	0.5	3.540229885	1.70098981777119	1
14149	34	0.5	3.174418605	2.31932068135575	1
14189	29	-0.5	3.370786517	2.12508450403038	0
14189	53	0.5	3.15	1.49864859764421	0
14189	21	-0.5	3.731707317	1.5091744394922	0
14189	13	-0.5	4.163043478	1.86070259679764	0
14189	24	0.5	2.806451613	1.40218786810146	0
14189	63	0.5	3	1.58372834759939	1
14189	22	-0.5	3.313953488	2.38398896100989	1
14189	30	0.5	3.780487805	0.965250221313909	0
14189	26	0.5	3.081395349	2.13471614260561	1
14189	46	-0.5	3.541666667	1.58407464031552	0
14189	33	0.5	3.739130435	1.22561168999528	1
14189	58	-0.5	3.258064516	1.36396456823059	0
14189	6	0.5	3.56043956	1.23141060318085	0
14189	34	-0.5	3.174418605	2.10497734530509	1
14189	39	-0.5	3.75	2.75322108505497	1
14189	43	0.5	3	0.930461046042183	0
14189	54	0.5	3.703703704	1.1214550518016	0
14189	42	-0.5	3.582417582	0.729572537067725	0
